"ID","شناسه"
"Order #","شماره‌ی سفارش"
"Reference Id","شماره پیگیری"
"Transaction Status","وضعیت تراکنش"
"Verification Status","وضعیت تایید"
"Reversal Status","وضعیت برگشت"
"IranDargah Gateway Report","گزارش درگاه ایران درگاه"
"IranDargah Gateway Reports","گزارش‌های درگاه ایران درگاه"
"Your payment has been successfully processed by our shop system.","پرداخت شما توسط سیستم فروش ما با موفقیت انجام شد."
"Please click <a href='%s'>here</a> if you are not redirected automatically.","اگر شما به صورت خودکار هدایت نشدید، لطفا <a href='%s'>اینجا</a> را کلیک کنید."
"IranDargah Online Payment","پرداخت آنلاین ایران درگاه"
"Payment was holded to pin payment request from IranDargah gateway.","پرداخت جهت درخواست اتصال پرداخت از درگاه ایران درگاه، به حالت تعلیق درآمد."
"Customer was redirected to IranDargah .","مشتری به  ایران درگاه هدایت شده است."
"An error occurred before redirection to IranDargah gateway.","پیش از هدایت به درگاه  ایران درگاه خطایی رخ داد."
"Payment was canceled because couldn\'t get proper authority key from IranDargah gateway.<li>Status: %s</li>","پرداخت به دلیل ناتوانی در دریافت کلید اعتبار مناسب از درگاه  ایران درگاه، لغو شد. <li>وضعیت:  %s</li>"
"Payment was canceled because of authority failure.","پرداخت به دلیل خطای اعتبارسنجی لغو شد."
"Transaction response check: An error occurred in transaction.","بررسی پاسخ تراکنش: خطایی در تراکنش رخ داده است."
"Transaction response: An unknown error occurred in transaction.","پاسخ تراکنش: خطای نامشخصی در تراکنش رخ داده است."
"The order has been canceled.","سفارش لغو شده است."
"Transaction for IranDargah payment is not valid.","تراکنش برای پرداخت ایران درگاه معتبر نیست."
"Transaction was not successful. Status: %s","تراکنش موفق نبود. وضعیت: %s"
"Order was canceled because couldn\'t connect to IranDargah gateway to verify transaction.","سفارش به دلیل عدم توانای در اتصال به درگاه  ایران درگاه برای تایید کردن تراکنش، لغو شد."
"Transaction reverse requested. Status: %s","برگشت تراکنش درخواست شد. وضعیت: %s"
"Error in payment transaction verification. Status: %s","خطا در تایید تراکنش پرداخت. وضعیت: %s"
"Customer payment was successful.","پرداخت مشتری موفق بود."
"Payment was canceled.","پرداخت لغو شد."
"Successful","موفقیت آمیز"
"Pre Request","پیش از درخواست"
"Access Violation","تخلف دسترسی"
"Merchant Authentication Failed","ناموفق در تصدیق فروشنده"
"Sale Is Already Done Successfully","فروش با موفقیت انجام شده است."
"Invalid Merchant Order","سفارش فروشنده‌ی نامعتبر"
"Undecided Status","وضعیت بلاتکلیف"
"%s is not registered.","%s ثبت نشده است."
"%s save error. Please try again later.","خطای ذخیره سازی %s. لطفا بعدا دوباره تلاش کنید."
"Serial Number","شماره سریال"
" or registration information for"," یا اطلاعات ثبت برای"
" is not valid. Please check them or %s"," معتبر نیست. لطفا آن‌ها را بررسی کنید یا %s"
"contact us.","با ما تماس بگیرید."
"%s is required.","%s الزامی است."
"%s is not valid.","%s معتبر نیست."
"Reference Id: %s","شماره پیگیری: %s"
"You will be redirected to IranDargah gateway when you place an order.","هنگامی که شما سفارشی بدهید به درگاه  ایران درگاه هدایت خواهید شد."
"You will be redirected to IranDargah  Gateway in a few seconds.","شما در چند ثانیه به درگاه  ایران درگاه هدایت خواهید شد."
"You will be redirected to IranDargah gateway.","شما به درگاه  ایران درگاه هدایت خواهید شد."
"Error occurred","رخ داد خطا"
"Please <a href='%s'>continue shopping</a>.","لطفا <a href='%s'>به خرید ادامه دهید</a>."
"Payment Methods","روش‌های پرداخت"
"Account Information","اطلاعات حساب"
"Merchant Code","شناسه‌ی فروشنده"
"Settings","تنظیمات"
"Enabled","ممکن‌شده"
"Title","عنوان"
"Payment from Applicable Countries","پرداخت از کشورهای مناسب"
"Payment from Specific Countries","پرداخت از کشورهای خاص"
"Extension Registration","ثبت اکستنشن"
"IranDargah Online Payment Registration","ثبت پرداخت آنلاین ایران درگاه"
"Activation","فعال سازی"
"Report","گزارش"
"Configuration","پیکربندی"
"Yes","بله"
"No","خیر"
"All Allowed Countries","همه‌ی کشورهای مجاز"
"Specific Countries","کشورهای خاص"
"Show Sum","نمایش مجموع"
"Please select transaction(s).","لطفا تراکنش(ها) را انتخاب کنید."
"Total transactions: %d","تعداد تراکنش‌ها: %d"
"Total transactions amount is: %s","مجموع تراکنش‌ها هست: %s"
"Payment is pending because of authority failure.","به دلیل خطای اعتبارسنجی پرداخت در حال انتظار است."
"This order has payment info","اطلاعات پرداخت برای این سفارش ثبت شده است"
"License","لایسنس"
"License Number for","کد لایسنس برای"
" is not valid."," معتبر نیست."
"This license is not registered for %s.","این لایسنس برای %s ثبت نشده است."
"If your store prices are based on Tooman, Choose ""Yes"".","اگر ارز مبنای فروشگاه شما تومان است، لطفا ""بله"" را انتخاب کنید."
"Tooman Currency","واحد ارز تومان"
"Customer back from IranDargah gateway.","بازگشت مشتری از  ایران درگاه."
"<br />Transaction status: %s (code: %s)","<br />وضعیت تراکنش: %s (کد: %s)"
"<br />Verification status: %s (code: %s)","<br />وضعیت تائیدیه: %s (کد: %s)"